"filename", "language", "JavaScript", "JSON", "SQL", "Markdown", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-main\login-main.component.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 8, 28
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-main\login-main.resolver.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 9, 23
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-cart\order-cart.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-cart\order-cart.component.html", "HTML", 0, 0, 0, 0, 0, 0, 34, 3, 9, 46
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-cart\order-cart.component.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 15, 38
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-form\order-form-popup.html", "HTML", 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-form\order-form.component.css", "CSS", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-form\order-form.component.html", "HTML", 0, 0, 0, 0, 0, 0, 93, 0, 4, 97
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-form\order-form.component.ts", "TypeScript", 0, 0, 0, 0, 73, 0, 0, 1, 25, 99
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-main\order-main.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-main\order-main.component.html", "HTML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-main\order-main.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 6, 17
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\register-dialog\register-dialog.component.css", "CSS", 0, 0, 0, 0, 0, 13, 0, 0, 6, 19
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\register-dialog\register-dialog.component.html", "HTML", 0, 0, 0, 0, 0, 0, 93, 0, 6, 99
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\register-dialog\register-dialog.component.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 11, 42
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\register-main\register-main.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\register-main\register-main.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\register-main\register-main.component.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 7, 20
